Date; Open; High; Low; Close; Moving Average 14
30.08.2011 0:00:00;11532.13;11630.07;11429.39;11559.95;11243.23
31.08.2011 0:00:00;11560.48;11712.60;11528.08;11613.53;11276.82
01.09.2011 0:00:00;11613.30;11716.84;11488.46;11493.57;11292.86
02.09.2011 0:00:00;11492.06;11492.14;11211.35;11240.26;11275.53
06.09.2011 0:00:00;11237.31;11237.46;10932.53;11139.30;11256.48
07.09.2011 0:00:00;11137.63;11414.86;11137.63;11414.86;11256.82
08.09.2011 0:00:00;11414.86;11477.30;11283.74;11295.81;11278.62
09.09.2011 0:00:00;11294.60;11294.83;10935.64;10992.13;11291.08
12.09.2011 0:00:00;10990.01;11062.03;10824.76;11061.12;11305.83
13.09.2011 0:00:00;11054.99;11140.85;10987.18;11105.85;11300.76
14.09.2011 0:00:00;11106.83;11386.78;10993.84;11246.73;11295.48
15.09.2011 0:00:00;11247.72;11433.40;11247.49;11433.18;11315.72
16.09.2011 0:00:00;11433.71;11532.47;11407.41;11509.09;11331.76
19.09.2011 0:00:00;11506.67;11506.82;11255.25;11401.01;11321.88
20.09.2011 0:00:00;11401.47;11550.22;11373.92;11408.66;11311.08
21.09.2011 0:00:00;11408.58;11447.86;11117.28;11124.84;11276.17
22.09.2011 0:00:00;11121.89;11122.12;10597.14;10733.83;11221.91
23.09.2011 0:00:00;10732.77;10808.49;10638.73;10771.48;11188.42
26.09.2011 0:00:00;10771.78;11057.49;10771.78;11043.86;11181.60
27.09.2011 0:00:00;11045.23;11369.30;11045.23;11190.69;11165.59
28.09.2011 0:00:00;11189.10;11317.08;10996.98;11010.90;11145.24
29.09.2011 0:00:00;11012.79;11271.14;10965.45;11153.98;11156.80
30.09.2011 0:00:00;11152.32;11152.39;10909.52;10913.38;11146.25
03.10.2011 0:00:00;10912.10;10979.19;10653.34;10655.30;11114.07
04.10.2011 0:00:00;10651.44;10825.44;10404.49;10808.71;11082.78
05.10.2011 0:00:00;10800.47;10950.89;10738.10;10939.95;11047.55
06.10.2011 0:00:00;10939.87;11132.60;10858.67;11123.33;11019.99
07.10.2011 0:00:00;11123.41;11232.05;11051.13;11103.12;10998.72
10.10.2011 0:00:00;11104.56;11433.33;11104.56;11433.18;11000.47
11.10.2011 0:00:00;11432.80;11447.86;11365.67;11416.30;11021.29
12.10.2011 0:00:00;11417.36;11625.30;11417.28;11518.85;11077.36
13.10.2011 0:00:00;11518.09;11518.09;11377.82;11478.13;11127.83
14.10.2011 0:00:00;11478.97;11646.83;11478.66;11644.49;11170.74
17.10.2011 0:00:00;11643.35;11643.35;11378.35;11397.00;11185.47
18.10.2011 0:00:00;11396.17;11652.74;11296.12;11577.05;11225.91
19.10.2011 0:00:00;11577.54;11633.70;11469.17;11504.62;11250.96
20.10.2011 0:00:00;11502.13;11581.25;11391.14;11541.78;11295.84
21.10.2011 0:00:00;11543.22;11812.46;11542.84;11808.79;11378.24
24.10.2011 0:00:00;11807.96;11940.75;11805.77;11913.62;11457.16
25.10.2011 0:00:00;11912.63;11912.86;11682.52;11706.62;11511.92
26.10.2011 0:00:00;11707.76;11891.21;11694.36;11869.04;11565.18
27.10.2011 0:00:00;11872.07;12284.31;11872.07;12208.55;11644.14
28.10.2011 0:00:00;12207.34;12251.92;12164.24;12231.11;11701.14
31.10.2011 0:00:00;12229.22;12229.29;11954.41;11955.01;11739.62
01.11.2011 0:00:00;11951.53;11951.76;11630.03;11657.96;11749.55
02.11.2011 0:00:00;11658.49;11876.83;11658.49;11836.04;11775.12
03.11.2011 0:00:00;11835.59;12065.93;11835.43;12044.47;11803.69
04.11.2011 0:00:00;12043.41;12043.49;11850.31;11983.24;11845.56
07.11.2011 0:00:00;11983.02;12074.44;11880.69;12068.39;11880.66
08.11.2011 0:00:00;12055.52;12187.51;12002.17;12170.18;11928.20
09.11.2011 0:00:00;12166.40;12166.40;11736.93;11780.94;11945.28
10.11.2011 0:00:00;11780.03;11961.14;11779.88;11893.79;11951.35
11.11.2011 0:00:00;11896.28;12179.72;11896.28;12153.68;11968.50
14.11.2011 0:00:00;12153.00;12170.56;12027.03;12078.98;11995.10
15.11.2011 0:00:00;12077.92;12165.11;12001.26;12096.16;12011.32
16.11.2011 0:00:00;12084.74;12109.03;11890.57;11905.59;11989.68
17.11.2011 0:00:00;11905.67;11948.43;11676.35;11770.73;11956.80
18.11.2011 0:00:00;11768.98;11854.81;11755.82;11796.16;11945.45
21.11.2011 0:00:00;11795.55;11795.70;11454.07;11547.31;11937.55
22.11.2011 0:00:00;11542.39;11571.75;11433.97;11493.72;11913.10
23.11.2011 0:00:00;11492.74;11492.82;11257.55;11257.55;11856.89
25.11.2011 0:00:00;11251.88;11361.47;11231.56;11231.78;11803.21
28.11.2011 0:00:00;11232.47;11562.10;11232.16;11523.01;11764.26
29.11.2011 0:00:00;11523.01;11624.01;11517.04;11555.63;11720.36
30.11.2011 0:00:00;11559.27;12045.68;11559.27;12045.68;11739.27
01.12.2011 0:00:00;12046.21;12062.64;11974.62;12020.03;11748.29
02.12.2011 0:00:00;12022.37;12146.68;12007.12;12019.42;11738.70
05.12.2011 0:00:00;12021.54;12186.53;12021.46;12097.83;11740.04
06.12.2011 0:00:00;12097.75;12215.71;12076.71;12150.13;11743.90
07.12.2011 0:00:00;12144.41;12257.67;12060.37;12196.37;11764.67
08.12.2011 0:00:00;12195.91;12195.91;11966.22;11997.70;11780.88
09.12.2011 0:00:00;11996.03;12212.83;11995.51;12184.26;11808.60
12.12.2011 0:00:00;12181.08;12181.38;11940.86;12021.39;11842.46
13.12.2011 0:00:00;12018.66;12147.70;11904.38;11954.94;11875.41
14.12.2011 0:00:00;11949.72;11950.02;11786.47;11823.48;11915.83
15.12.2011 0:00:00;11825.29;11967.84;11825.22;11868.81;11961.33
16.12.2011 0:00:00;11870.25;11968.18;11819.31;11866.39;11985.86
19.12.2011 0:00:00;11866.54;11925.88;11735.19;11766.26;12000.91
20.12.2011 0:00:00;11769.21;12117.13;11768.83;12103.58;12005.04
21.12.2011 0:00:00;12103.28;12119.70;11999.44;12107.74;12011.31
22.12.2011 0:00:00;12107.59;12182.71;12107.37;12169.65;12022.04
23.12.2011 0:00:00;12169.80;12297.44;12169.80;12294.00;12036.05
27.12.2011 0:00:00;12293.47;12328.47;12269.97;12291.35;12046.14
28.12.2011 0:00:00;12288.85;12299.11;12140.17;12151.41;12042.93
29.12.2011 0:00:00;12152.09;12293.96;12152.09;12287.04;12063.59
30.12.2011 0:00:00;12286.13;12290.06;12213.78;12217.56;12065.97
03.01.2012 0:00:00;12221.19;12479.65;12221.19;12397.38;12092.83
04.01.2012 0:00:00;12392.46;12430.00;12337.25;12418.42;12125.93
05.01.2012 0:00:00;12418.42;12435.98;12283.90;12415.70;12168.24
06.01.2012 0:00:00;12407.45;12415.24;12332.41;12359.92;12203.31
09.01.2012 0:00:00;12359.31;12409.08;12333.85;12392.69;12240.91
10.01.2012 0:00:00;12394.51;12514.69;12394.51;12462.47;12290.64
11.01.2012 0:00:00;12459.52;12462.58;12399.01;12449.45;12315.34
12.01.2012 0:00:00;12449.91;12483.70;12385.08;12471.02;12341.29
13.01.2012 0:00:00;12469.96;12470.12;12311.79;12422.06;12359.32
17.01.2012 0:00:00;12423.12;12573.65;12423.12;12482.07;12372.75
18.01.2012 0:00:00;12474.69;12582.28;12453.20;12578.95;12393.30
19.01.2012 0:00:00;12578.19;12625.80;12563.58;12623.98;12427.05
20.01.2012 0:00:00;12623.83;12720.48;12620.76;12720.48;12458.01
23.01.2012 0:00:00;12720.25;12764.49;12665.83;12708.82;12493.10
24.01.2012 0:00:00;12708.37;12708.52;12613.54;12675.75;12512.98
25.01.2012 0:00:00;12673.63;12778.26;12580.12;12756.96;12537.17
26.01.2012 0:00:00;12757.33;12841.95;12695.16;12734.63;12559.95
27.01.2012 0:00:00;12733.95;12733.95;12630.72;12660.46;12581.41
30.01.2012 0:00:00;12659.17;12659.32;12529.41;12653.72;12600.06
31.01.2012 0:00:00;12654.78;12720.10;12567.33;12632.91;12612.23
01.02.2012 0:00:00;12632.76;12784.62;12632.76;12716.46;12631.30
02.02.2012 0:00:00;12716.54;12741.89;12676.05;12705.41;12648.05
03.02.2012 0:00:00;12705.04;12869.95;12704.96;12862.23;12679.49
06.02.2012 0:00:00;12860.72;12860.79;12793.43;12845.13;12705.42
07.02.2012 0:00:00;12844.37;12903.71;12782.57;12878.20;12726.80
08.02.2012 0:00:00;12865.79;12893.64;12817.69;12883.95;12745.37
09.02.2012 0:00:00;12884.41;12924.71;12846.41;12890.46;12757.51
10.02.2012 0:00:00;12889.55;12889.63;12743.56;12801.23;12764.11
13.02.2012 0:00:00;12799.11;12887.93;12799.11;12874.04;12778.27
14.02.2012 0:00:00;12871.77;12878.88;12786.93;12878.28;12786.94
15.02.2012 0:00:00;12864.65;12899.47;12753.62;12780.95;12790.25
16.02.2012 0:00:00;12779.81;12914.00;12779.58;12904.08;12807.65
17.02.2012 0:00:00;12903.33;12967.92;12903.25;12949.87;12828.80
21.02.2012 0:00:00;12949.34;13005.04;12926.11;12965.69;12852.57
22.02.2012 0:00:00;12966.22;12977.91;12914.83;12938.67;12868.44
23.02.2012 0:00:00;12937.08;12996.08;12882.67;12984.69;12888.39
24.02.2012 0:00:00;12981.20;13013.82;12950.59;12982.95;12897.01
27.02.2012 0:00:00;12981.13;13027.52;12882.59;12981.51;12906.75
28.02.2012 0:00:00;12976.74;13021.51;12952.82;13005.12;12915.82
29.02.2012 0:00:00;13005.42;13055.75;12929.66;12952.07;12920.69
01.03.2012 0:00:00;12952.29;13032.67;12943.06;12980.30;12927.10
02.03.2012 0:00:00;12980.75;12997.51;12927.77;12977.57;12939.70
05.03.2012 0:00:00;12977.34;12977.34;12883.91;12962.81;12946.04
06.03.2012 0:00:00;12958.65;12958.73;12734.86;12759.15;12937.53
07.03.2012 0:00:00;12756.12;12857.73;12751.51;12837.33;12941.56
08.03.2012 0:00:00;12835.53;12937.19;12835.53;12907.94;12941.83
09.03.2012 0:00:00;12908.62;12968.79;12906.43;12922.02;12939.84
12.03.2012 0:00:00;12920.58;12976.36;12919.98;12959.71;12939.42
13.03.2012 0:00:00;12953.20;13180.40;12953.13;13177.68;12956.49
14.03.2012 0:00:00;13177.15;13221.27;13166.25;13194.10;12971.45
15.03.2012 0:00:00;13192.97;13253.51;13170.19;13252.76;12990.72
16.03.2012 0:00:00;13253.51;13289.08;13231.45;13232.62;13008.66
19.03.2012 0:00:00;13231.94;13269.71;13208.63;13239.13;13025.37
20.03.2012 0:00:00;13238.45;13238.45;13123.38;13170.19;13040.95
21.03.2012 0:00:00;13170.79;13190.02;13112.93;13124.62;13051.26
22.03.2012 0:00:00;13124.40;13124.47;13017.42;13046.14;13056.16
23.03.2012 0:00:00;13045.99;13099.91;13002.77;13080.73;13064.58
26.03.2012 0:00:00;13082.62;13243.86;13082.39;13241.63;13099.04
27.03.2012 0:00:00;13242.09;13264.98;13194.33;13197.73;13124.79
28.03.2012 0:00:00;13195.39;13212.64;13069.26;13126.21;13140.38
29.03.2012 0:00:00;13125.99;13151.57;13032.67;13145.82;13156.36
30.03.2012 0:00:00;13147.94;13224.49;13147.78;13212.04;13174.39
02.04.2012 0:00:00;13211.36;13297.11;13153.69;13264.49;13180.59
03.04.2012 0:00:00;13258.96;13265.36;13131.21;13199.55;13180.98
04.04.2012 0:00:00;13198.19;13198.19;13020.86;13074.75;13168.26
05.04.2012 0:00:00;13067.18;13088.11;13012.46;13060.14;13155.94
09.04.2012 0:00:00;13057.57;13057.72;12903.78;12929.59;13133.83
10.04.2012 0:00:00;12929.44;12929.59;12710.56;12715.93;13101.38
11.04.2012 0:00:00;12716.92;12844.82;12716.92;12805.39;13078.58
12.04.2012 0:00:00;12806.45;12986.96;12806.30;12986.58;13074.33
13.04.2012 0:00:00;12986.20;12986.35;12845.28;12849.59;13057.82
16.04.2012 0:00:00;12850.88;12986.77;12850.80;12921.41;13034.94
17.04.2012 0:00:00;12921.79;13131.36;12921.79;13115.54;13029.07
18.04.2012 0:00:00;13114.56;13114.56;13027.49;13032.75;13022.40
19.04.2012 0:00:00;13028.73;13080.20;12896.82;12964.10;13009.42
20.04.2012 0:00:00;12964.48;13082.54;12964.25;13029.26;12996.36
23.04.2012 0:00:00;13028.20;13028.20;12845.58;12927.17;12972.27
24.04.2012 0:00:00;12927.77;13050.30;12926.49;13001.56;12958.13
25.04.2012 0:00:00;12997.69;13105.70;12993.60;13090.72;12959.27
26.04.2012 0:00:00;13090.11;13227.82;13075.96;13204.62;12969.59
27.04.2012 0:00:00;13204.70;13266.68;13192.21;13228.31;12990.92
30.04.2012 0:00:00;13228.31;13228.76;13176.01;13213.63;13026.47
01.05.2012 0:00:00;13214.16;13338.66;13174.65;13279.32;13060.33
02.05.2012 0:00:00;13278.11;13278.11;13192.21;13268.57;13080.47
03.05.2012 0:00:00;13267.59;13284.09;13175.64;13206.59;13105.97
04.05.2012 0:00:00;13204.62;13205.00;13022.34;13038.27;13114.31
07.05.2012 0:00:00;13035.85;13049.09;12970.00;13008.53;13106.67
08.05.2012 0:00:00;13000.73;13000.73;12810.39;12932.09;13099.48
09.05.2012 0:00:00;12921.81;12921.81;12748.48;12835.06;13090.26
10.05.2012 0:00:00;12831.58;12931.71;12820.30;12855.04;13077.82
11.05.2012 0:00:00;12851.79;12918.01;12779.28;12820.60;13070.21
14.05.2012 0:00:00;12818.49;12818.86;12661.48;12695.35;13048.34
15.05.2012 0:00:00;12695.05;12758.43;12608.16;12632.00;13015.57
16.05.2012 0:00:00;12617.32;12722.63;12597.34;12598.55;12972.28
17.05.2012 0:00:00;12598.32;12611.42;12440.52;12442.49;12916.15
18.05.2012 0:00:00;12443.02;12492.97;12336.76;12369.38;12855.85
21.05.2012 0:00:00;12369.15;12508.11;12367.72;12504.48;12800.50
22.05.2012 0:00:00;12505.38;12575.96;12447.33;12502.81;12745.80
23.05.2012 0:00:00;12501.52;12508.30;12311.56;12496.15;12695.06
24.05.2012 0:00:00;12491.91;12539.59;12419.63;12529.75;12658.73
25.05.2012 0:00:00;12530.74;12533.12;12421.53;12454.83;12619.18
29.05.2012 0:00:00;12454.83;12611.61;12454.60;12580.69;12594.08
30.05.2012 0:00:00;12579.02;12579.10;12396.40;12419.86;12564.43
31.05.2012 0:00:00;12414.41;12489.87;12316.48;12393.45;12531.46
01.06.2012 0:00:00;12391.56;12391.63;12107.48;12118.57;12481.31
04.06.2012 0:00:00;12119.85;12143.69;12035.09;12101.46;12438.89
05.06.2012 0:00:00;12101.08;12147.55;12072.17;12127.95;12402.89
06.06.2012 0:00:00;12125.00;12414.79;12125.00;12414.79;12389.76
07.06.2012 0:00:00;12416.53;12555.26;12416.53;12460.96;12391.08
08.06.2012 0:00:00;12460.81;12554.20;12398.44;12554.20;12404.28
11.06.2012 0:00:00;12553.81;12650.47;12398.48;12411.23;12397.62
12.06.2012 0:00:00;12412.07;12577.02;12411.91;12573.80;12402.69
13.06.2012 0:00:00;12566.38;12598.25;12453.69;12496.38;12402.71
14.06.2012 0:00:00;12497.89;12698.68;12497.66;12651.91;12411.43
15.06.2012 0:00:00;12652.21;12774.70;12651.38;12767.17;12433.74
18.06.2012 0:00:00;12767.02;12781.93;12696.18;12741.82;12445.25
19.06.2012 0:00:00;12744.62;12898.94;12744.47;12837.33;12475.07
20.06.2012 0:00:00;12837.10;12877.18;12744.92;12824.39;12505.85
21.06.2012 0:00:00;12823.10;12857.39;12561.46;12573.57;12538.35
22.06.2012 0:00:00;12574.82;12674.08;12574.67;12640.78;12576.88
25.06.2012 0:00:00;12639.80;12639.87;12458.01;12502.66;12603.64
26.06.2012 0:00:00;12503.57;12576.41;12452.03;12534.67;12612.21
27.06.2012 0:00:00;12532.93;12646.87;12532.71;12627.01;12624.07
28.06.2012 0:00:00;12626.25;12626.25;12450.17;12602.26;12627.50
29.06.2012 0:00:00;12604.60;12880.39;12604.53;12880.09;12660.99
02.07.2012 0:00:00;12879.71;12902.12;12795.48;12871.39;12682.25
03.07.2012 0:00:00;12868.06;12946.20;12845.28;12943.82;12714.21
05.07.2012 0:00:00;12941.85;12961.30;12852.24;12896.67;12731.69
06.07.2012 0:00:00;12889.40;12889.40;12702.99;12772.47;12732.07
09.07.2012 0:00:00;12772.02;12772.02;12686.57;12736.29;12731.67
